;----------------------------------------------------
;Dump of Oscilloscope gather for X Axis
;Kp == 0.000000
;Ki == 0.000000
;Kd == 0.000000
;iL == 2560000.000000
;Kg == 0.000000
;Kv1 == 0.000000
;Ka == 0.000000
;accel_time == 0.500000
;samples_per_second == 200.000000
;----------------------------------------------------

Sample Seconds VExp VAbs ErrAbs ErrSum
314 1.570000 -18.295467 -20.000000 -6.000000 0.000000 
315 1.575000 -18.295467 -18.000000 -8.000000 0.000000 
316 1.580000 -18.295467 -16.000000 -9.000000 0.000000 
317 1.585000 -18.295467 -19.000000 -8.000000 0.000000 
318 1.590000 -18.295467 -19.000000 -8.000000 0.000000 
319 1.595000 -18.295467 -18.000000 -7.000000 0.000000 
320 1.600000 -18.295467 -17.000000 -6.000000 0.000000 
321 1.605000 -18.295467 -20.000000 -6.000000 0.000000 
322 1.610000 -18.295467 -18.000000 -8.000000 0.000000 
323 1.615000 -18.295467 -17.000000 -8.000000 0.000000 
324 1.620000 -18.295467 -19.000000 -7.000000 0.000000 
325 1.625000 -18.295467 -19.000000 -7.000000 0.000000 
326 1.630000 -18.295467 -17.000000 -8.000000 0.000000 
327 1.635000 -18.295467 -17.000000 -8.000000 0.000000 
328 1.640000 -18.295467 -19.000000 -8.000000 0.000000 
329 1.645000 -18.295467 -19.000000 -8.000000 0.000000 
330 1.650000 -18.295467 -17.000000 -7.000000 0.000000 
331 1.655000 -18.295467 -19.000000 -5.000000 0.000000 
332 1.660000 -18.295467 -19.000000 -6.000000 0.000000 
333 1.665000 -18.295467 -17.000000 -8.000000 0.000000 
334 1.670000 -18.295467 -18.000000 -7.000000 0.000000 
335 1.675000 -18.295467 -19.000000 -7.000000 0.000000 
336 1.680000 -18.295467 -19.000000 -8.000000 0.000000 
337 1.685000 -18.295467 -16.000000 -9.000000 0.000000 
338 1.690000 -18.295467 -18.000000 -7.000000 0.000000 
339 1.695000 -18.295467 -19.000000 -7.000000 0.000000 
340 1.700000 -18.295467 -17.000000 -9.000000 0.000000 
341 1.705000 -18.295467 -17.000000 -7.000000 0.000000 
342 1.710000 -18.295467 -19.000000 -6.000000 0.000000 
343 1.715000 -18.295467 -19.000000 -7.000000 0.000000 
344 1.720000 -18.295467 -17.000000 -7.000000 0.000000 
345 1.725000 -18.295467 -17.000000 -7.000000 0.000000 
346 1.730000 -18.295467 -19.000000 -8.000000 0.000000 
347 1.735000 -18.295467 -18.000000 -9.000000 0.000000 
348 1.740000 -18.295467 -18.000000 -8.000000 0.000000 
349 1.745000 -18.295467 -20.000000 -7.000000 0.000000 
350 1.750000 -18.295467 -19.000000 -8.000000 0.000000 
351 1.755000 -18.295467 -17.000000 -9.000000 0.000000 
352 1.760000 -18.295467 -18.000000 -7.000000 0.000000 
353 1.765000 -18.295467 -20.000000 -6.000000 0.000000 
354 1.770000 -18.295467 -18.000000 -7.000000 0.000000 
355 1.775000 -18.295467 -18.000000 -6.000000 0.000000 
356 1.780000 -18.295467 -19.000000 -6.000000 0.000000 
357 1.785000 -18.295467 -19.000000 -7.000000 0.000000 
358 1.790000 -18.295467 -17.000000 -8.000000 0.000000 
359 1.795000 -18.295467 -18.000000 -7.000000 0.000000 
360 1.800000 -18.295467 -20.000000 -6.000000 0.000000 
361 1.805000 -18.295467 -18.000000 -8.000000 0.000000 
362 1.810000 -18.295467 -17.000000 -8.000000 0.000000 
363 1.815000 -18.295467 -18.000000 -6.000000 0.000000 
364 1.820000 -18.295467 -20.000000 -7.000000 0.000000 
365 1.825000 -18.295467 -17.000000 -8.000000 0.000000 
366 1.830000 -18.295467 -18.000000 -7.000000 0.000000 
367 1.835000 -18.295467 -21.000000 -6.000000 0.000000 
368 1.840000 -18.295467 -18.000000 -8.000000 0.000000 
369 1.845000 -18.295467 -17.000000 -8.000000 0.000000 
370 1.850000 -18.295467 -19.000000 -7.000000 0.000000 
371 1.855000 -18.295467 -18.000000 -8.000000 0.000000 
372 1.860000 -18.295467 -18.000000 -8.000000 0.000000 
373 1.865000 -18.295467 -17.000000 -7.000000 0.000000 
374 1.870000 -18.295467 -20.000000 -5.000000 0.000000 
375 1.875000 -18.295467 -18.000000 -7.000000 0.000000 
376 1.880000 -18.295467 -18.000000 -7.000000 0.000000 
